epoch 044/60 | loss 0.4034 | train_acc 85.69% | test_acc 79.79%
epoch 045/60 | loss 0.3841 | train_acc 86.26% | test_acc 79.96%
epoch 046/60 | loss 0.3667 | train_acc 87.07% | test_acc 80.45%
epoch 047/60 | loss 0.3473 | train_acc 87.54% | test_acc 80.81%
epoch 048/60 | loss 0.3266 | train_acc 88.27% | test_acc 80.36%
epoch 049/60 | loss 0.3105 | train_acc 88.98% | test_acc 81.10%
epoch 050/60 | loss 0.2862 | train_acc 89.86% | test_acc 81.10%
epoch 051/60 | loss 0.2822 | train_acc 89.91% | test_acc 81.33%
epoch 052/60 | loss 0.2631 | train_acc 90.61% | test_acc 81.15%
epoch 053/60 | loss 0.2490 | train_acc 91.03% | test_acc 81.18%
epoch 054/60 | loss 0.2356 | train_acc 91.55% | test_acc 81.43%
epoch 055/60 | loss 0.2277 | train_acc 91.92% | test_acc 81.22%
epoch 056/60 | loss 0.2174 | train_acc 92.26% | test_acc 81.41%
epoch 057/60 | loss 0.2129 | train_acc 92.35% | test_acc 81.40%
epoch 058/60 | loss 0.2112 | train_acc 92.46% | test_acc 81.55%
epoch 059/60 | loss 0.1987 | train_acc 92.96% | test_acc 81.53%
epoch 060/60 | loss 0.2004 | train_acc 92.95% | test_acc 81.41%

================================================================
run 71/81 | lr=0.001 wd=0.07 bs=512 drop_path_rate=0.1
================================================================
epoch 001/60 | loss 2.0730 | train_acc 23.87% | test_acc 27.18%
epoch 002/60 | loss 1.8279 | train_acc 31.32% | test_acc 36.72%
epoch 003/60 | loss 1.5871 | train_acc 41.40% | test_acc 46.10%
epoch 004/60 | loss 1.4321 | train_acc 47.81% | test_acc 51.32%
epoch 005/60 | loss 1.3295 | train_acc 51.84% | test_acc 56.23%
epoch 006/60 | loss 1.2793 | train_acc 53.60% | test_acc 55.46%
epoch 007/60 | loss 1.2255 | train_acc 55.76% | test_acc 57.25%
epoch 008/60 | loss 1.1987 | train_acc 56.87% | test_acc 56.35%
epoch 009/60 | loss 1.1934 | train_acc 56.89% | test_acc 59.01%
epoch 010/60 | loss 1.1764 | train_acc 57.53% | test_acc 59.40%
epoch 011/60 | loss 1.1492 | train_acc 58.49% | test_acc 59.34%
epoch 012/60 | loss 1.1540 | train_acc 58.41% | test_acc 61.43%
epoch 013/60 | loss 1.1337 | train_acc 59.13% | test_acc 60.52%
epoch 014/60 | loss 1.1460 | train_acc 58.63% | test_acc 59.76%
epoch 015/60 | loss 1.1350 | train_acc 59.07% | test_acc 60.99%
epoch 016/60 | loss 1.1269 | train_acc 59.52% | test_acc 60.00%
epoch 017/60 | loss 1.1211 | train_acc 59.43% | test_acc 60.97%
epoch 018/60 | loss 1.0791 | train_acc 61.30% | test_acc 62.60%
epoch 019/60 | loss 1.0879 | train_acc 60.76% | test_acc 63.55%
epoch 020/60 | loss 1.0449 | train_acc 62.61% | test_acc 64.05%
epoch 021/60 | loss 1.0468 | train_acc 62.60% | test_acc 61.63%
epoch 022/60 | loss 1.0259 | train_acc 63.35% | test_acc 63.16%
epoch 023/60 | loss 0.9976 | train_acc 64.31% | test_acc 64.25%
epoch 024/60 | loss 0.9858 | train_acc 64.78% | test_acc 66.33%
epoch 025/60 | loss 0.9541 | train_acc 65.91% | test_acc 68.09%
epoch 026/60 | loss 0.9351 | train_acc 66.61% | test_acc 68.34%
epoch 027/60 | loss 0.9078 | train_acc 67.59% | test_acc 68.01%
epoch 028/60 | loss 0.8897 | train_acc 68.23% | test_acc 68.96%
epoch 029/60 | loss 0.8702 | train_acc 69.10% | test_acc 70.19%
epoch 030/60 | loss 0.8539 | train_acc 69.67% | test_acc 70.94%
epoch 031/60 | loss 0.8360 | train_acc 70.32% | test_acc 70.37%
epoch 032/60 | loss 0.8215 | train_acc 70.73% | test_acc 70.86%
epoch 033/60 | loss 0.7932 | train_acc 71.67% | test_acc 71.80%
epoch 034/60 | loss 0.7815 | train_acc 72.15% | test_acc 72.23%
epoch 035/60 | loss 0.7648 | train_acc 72.75% | test_acc 73.03%
epoch 036/60 | loss 0.7453 | train_acc 73.49% | test_acc 73.53%
epoch 037/60 | loss 0.7211 | train_acc 74.39% | test_acc 73.54%
epoch 038/60 | loss 0.7093 | train_acc 74.79% | test_acc 74.18%
epoch 039/60 | loss 0.6849 | train_acc 75.51% | test_acc 74.42%
epoch 040/60 | loss 0.6735 | train_acc 75.99% | test_acc 75.18%
epoch 041/60 | loss 0.6563 | train_acc 76.49% | test_acc 75.95%
epoch 042/60 | loss 0.6330 | train_acc 77.56% | test_acc 76.38%
epoch 043/60 | loss 0.6150 | train_acc 78.22% | test_acc 76.46%
epoch 044/60 | loss 0.6043 | train_acc 78.38% | test_acc 76.89%
epoch 045/60 | loss 0.5827 | train_acc 79.32% | test_acc 77.04%
epoch 046/60 | loss 0.5649 | train_acc 79.94% | test_acc 77.05%
epoch 047/60 | loss 0.5476 | train_acc 80.59% | test_acc 77.70%
epoch 048/60 | loss 0.5348 | train_acc 80.91% | test_acc 77.69%
epoch 049/60 | loss 0.5234 | train_acc 81.42% | test_acc 78.47%
epoch 050/60 | loss 0.5072 | train_acc 82.04% | test_acc 78.97%
epoch 051/60 | loss 0.4976 | train_acc 82.32% | test_acc 78.80%
epoch 052/60 | loss 0.4896 | train_acc 82.59% | test_acc 78.90%
epoch 053/60 | loss 0.4794 | train_acc 83.02% | test_acc 78.83%
epoch 054/60 | loss 0.4686 | train_acc 83.47% | test_acc 79.10%
epoch 055/60 | loss 0.4602 | train_acc 83.53% | test_acc 79.25%
epoch 056/60 | loss 0.4567 | train_acc 83.68% | test_acc 79.10%
epoch 057/60 | loss 0.4470 | train_acc 84.20% | test_acc 79.41%
epoch 058/60 | loss 0.4466 | train_acc 84.12% | test_acc 79.52%
epoch 059/60 | loss 0.4425 | train_acc 84.25% | test_acc 79.65%
epoch 060/60 | loss 0.4401 | train_acc 84.26% | test_acc 79.34%

================================================================
run 72/81 | lr=0.001 wd=0.07 bs=512 drop_path_rate=0.2
================================================================
epoch 001/60 | loss 2.0740 | train_acc 22.51% | test_acc 26.33%
epoch 002/60 | loss 1.8425 | train_acc 30.56% | test_acc 35.44%
epoch 003/60 | loss 1.6346 | train_acc 39.23% | test_acc 46.61%
epoch 004/60 | loss 1.4424 | train_acc 47.34% | test_acc 50.72%
epoch 005/60 | loss 1.3351 | train_acc 51.38% | test_acc 54.62%
epoch 006/60 | loss 1.3039 | train_acc 52.69% | test_acc 54.87%
epoch 007/60 | loss 1.2473 | train_acc 54.95% | test_acc 55.82%
epoch 008/60 | loss 1.2316 | train_acc 55.43% | test_acc 55.53%
epoch 009/60 | loss 1.2037 | train_acc 56.54% | test_acc 58.84%
epoch 010/60 | loss 1.1834 | train_acc 57.25% | test_acc 58.84%
epoch 011/60 | loss 1.1797 | train_acc 57.38% | test_acc 59.23%
epoch 012/60 | loss 1.1730 | train_acc 57.74% | test_acc 59.79%
epoch 013/60 | loss 1.1767 | train_acc 57.60% | test_acc 58.23%
epoch 014/60 | loss 1.1598 | train_acc 58.14% | test_acc 58.63%
epoch 015/60 | loss 1.1736 | train_acc 57.90% | test_acc 59.23%
epoch 016/60 | loss 1.1654 | train_acc 58.09% | test_acc 59.61%
epoch 017/60 | loss 1.1482 | train_acc 58.65% | test_acc 60.16%
epoch 018/60 | loss 1.1264 | train_acc 59.25% | test_acc 61.53%
epoch 019/60 | loss 1.1095 | train_acc 60.23% | test_acc 62.07%
epoch 020/60 | loss 1.0793 | train_acc 61.47% | test_acc 63.49%
epoch 021/60 | loss 1.0450 | train_acc 62.59% | test_acc 64.36%
epoch 022/60 | loss 1.0181 | train_acc 63.51% | test_acc 65.25%
epoch 023/60 | loss 1.0134 | train_acc 63.76% | test_acc 64.81%
epoch 024/60 | loss 1.0028 | train_acc 63.91% | test_acc 65.44%
epoch 025/60 | loss 0.9739 | train_acc 65.26% | test_acc 66.54%
epoch 026/60 | loss 0.9761 | train_acc 65.23% | test_acc 66.94%
epoch 027/60 | loss 0.9487 | train_acc 66.10% | test_acc 66.39%
epoch 028/60 | loss 0.9346 | train_acc 66.63% | test_acc 67.78%
epoch 029/60 | loss 0.9171 | train_acc 67.33% | test_acc 69.42%
epoch 030/60 | loss 0.9055 | train_acc 67.62% | test_acc 68.68%
epoch 031/60 | loss 0.8797 | train_acc 68.73% | test_acc 68.74%
epoch 032/60 | loss 0.8573 | train_acc 69.55% | test_acc 68.51%
epoch 033/60 | loss 0.8483 | train_acc 69.64% | test_acc 71.33%
epoch 034/60 | loss 0.8125 | train_acc 71.00% | test_acc 72.33%
epoch 035/60 | loss 0.7915 | train_acc 71.75% | test_acc 72.22%
epoch 036/60 | loss 0.7837 | train_acc 72.32% | test_acc 72.35%
epoch 037/60 | loss 0.7628 | train_acc 72.92% | test_acc 72.40%
epoch 038/60 | loss 0.7471 | train_acc 73.50% | test_acc 73.62%
epoch 039/60 | loss 0.7292 | train_acc 74.04% | test_acc 74.44%
epoch 040/60 | loss 0.7049 | train_acc 74.88% | test_acc 74.35%
epoch 041/60 | loss 0.6920 | train_acc 75.38% | test_acc 74.65%
epoch 042/60 | loss 0.6700 | train_acc 76.18% | test_acc 75.40%
epoch 043/60 | loss 0.6565 | train_acc 76.58% | test_acc 75.69%
epoch 044/60 | loss 0.6412 | train_acc 77.16% | test_acc 76.60%
epoch 045/60 | loss 0.6204 | train_acc 77.86% | test_acc 76.70%
epoch 046/60 | loss 0.6099 | train_acc 78.28% | test_acc 76.58%
epoch 047/60 | loss 0.5985 | train_acc 78.86% | test_acc 77.46%
epoch 048/60 | loss 0.5799 | train_acc 79.20% | test_acc 77.32%
